Year,Global Temp,Ahmadabad Temp
1796,8.27,26.35
1797,8.51,27.45
1798,8.67,25.82
1799,8.51,26.62
1800,8.48,26.56
1801,8.59,25.73
1802,8.58,27.01
1803,8.50,26.77
1804,8.84,27.09
1805,8.56,26.67
1806,8.43,26.57
1807,8.28,26.10
1808,7.63,
1809,7.08,
1810,6.92,
1811,6.86,
1812,7.05,
1813,7.74,25.92
1814,7.59,25.26
1815,7.24,25.45
1816,6.94,25.01
1817,6.98,25.23
1818,7.83,25.78
1819,7.37,25.36
1820,7.62,25.52
1821,8.09,26.15
1822,8.19,26.20
1823,7.72,26.03
1824,8.55,26.68
1825,8.39,26.46
1826,8.36,26.49
1827,8.81,26.65
1828,8.17,26.26
1829,7.94,26.08
1830,8.52,26.37
1831,7.64,25.84
1832,7.45,25.99
1833,8.01,26.18
1834,8.15,26.22
1835,7.39,25.36
1836,7.70,25.85
1837,7.38,25.76
1838,7.51,25.78
1839,7.63,25.89
1840,7.80,26.01
1841,7.69,25.78
1842,8.02,26.13
1843,8.17,25.98
1844,7.65,25.74
1845,7.85,25.99
1846,8.55,26.59
1847,8.09,26.03
1848,7.98,25.96
1849,7.98,25.92
1850,7.90,26.08
1851,8.18,26.07
1852,8.10,26.07
1853,8.04,26.24
1854,8.21,26.37
1855,8.11,26.41
1856,8.00,25.36
1857,7.76,25.64
1858,8.10,
1859,8.25,
1860,7.96,
1861,7.85,
1862,7.56,
1863,8.11,
1864,7.98,
1865,8.18,27.77
1866,8.29,26.40
1867,8.44,26.72
1868,8.25,26.01
1869,8.43,26.52
1870,8.20,26.21
1871,8.12,26.20
1872,8.19,26.22
1873,8.35,26.34
1874,8.43,26.36
1875,7.86,26.51
1876,8.08,26.42
1877,8.54,26.66
1878,8.83,26.74
1879,8.17,26.15
1880,8.12,26.57
1881,8.27,26.33
1882,8.13,26.25
1883,7.98,25.84
1884,7.77,25.76
1885,7.92,25.96
1886,7.95,26.34
1887,7.91,26.06
1888,8.09,26.13
1889,8.32,26.52
1890,7.97,26.41
1891,8.02,26.32
1892,8.07,26.70
1893,8.06,25.45
1894,8.16,26.03
1895,8.15,26.50
1896,8.21,26.99
1897,8.29,26.55
1898,8.18,26.94
1899,8.40,27.07
1900,8.50,26.90
1901,8.54,26.83
1902,8.30,27.30
1903,8.22,26.28
1904,8.09,26.62
1905,8.23,26.24
1906,8.38,26.19
1907,7.95,26.36
1908,8.19,26.07
1909,8.18,26.05
1910,8.22,26.09
1911,8.18,26.60
1912,8.17,26.89
1913,8.30,26.44
1914,8.59,26.56
1915,8.59,27.01
1916,8.23,26.50
1917,8.02,25.60
1918,8.13,26.48
1919,8.38,26.39
1920,8.36,26.65
1921,8.57,27.05
1922,8.41,26.43
1923,8.42,26.44
1924,8.51,26.63
1925,8.53,26.66
1926,8.73,26.55
1927,8.52,26.08
1928,8.63,26.60
1929,8.24,26.76
1930,8.63,26.58
1931,8.72,26.95
1932,8.71,26.90
1933,8.34,26.29
1934,8.63,26.35
1935,8.52,26.10
1936,8.55,26.36
1937,8.70,26.24
1938,8.86,26.46
1939,8.76,26.61
1940,8.76,26.54
1941,8.77,27.23
1942,8.73,26.71
1943,8.76,26.69
1944,8.85,26.47
1945,8.58,25.99
1946,8.68,26.65
1947,8.80,26.80
1948,8.75,27.13
1949,8.59,27.11
1950,8.37,26.06
1951,8.63,27.03
1952,8.64,27.08
1953,8.87,27.14
1954,8.56,26.71
1955,8.63,26.68
1956,8.28,26.28
1957,8.73,26.61
1958,8.77,27.28
1959,8.73,26.72
1960,8.58,26.77
1961,8.80,26.29
1962,8.75,26.64
1963,8.86,27.10
1964,8.41,26.51
1965,8.53,26.82
1966,8.60,26.89
1967,8.70,26.46
1968,8.52,26.54
1969,8.60,27.26
1970,8.70,26.71
1971,8.60,26.57
1972,8.50,26.88
1973,8.95,26.72
1974,8.47,27.02
1975,8.74,26.23
1976,8.35,26.79
1977,8.85,27.17
1978,8.69,26.77
1979,8.73,26.97
1980,8.98,27.22
1981,9.17,26.89
1982,8.64,26.74
1983,9.03,26.21
1984,8.69,26.53
1985,8.66,27.13
1986,8.83,26.96
1987,8.99,28.06
1988,9.20,27.61
1989,8.92,26.76
1990,9.23,26.88
1991,9.18,26.90
1992,8.84,26.82
1993,8.87,27.46
1994,9.04,26.74
1995,9.35,27.20
1996,9.04,27.06
1997,9.20,26.45
1998,9.52,27.48
1999,9.29,27.21
2000,9.20,27.44
2001,9.41,27.20
2002,9.57,27.72
2003,9.53,27.40
2004,9.32,27.63
2005,9.70,26.83
2006,9.53,27.28
2007,9.73,27.51
2008,9.43,27.05
2009,9.51,28.10
2010,9.70,28.02
2011,9.52,27.29
2012,9.51,27.03
2013,9.61,27.61
